ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,CARTAGO,CENTRAL,HIGADO,10,12.73,HOMBRE,2011
,CARTAGO,PARAISO,HIGADO,0,0,HOMBRE,2011
,CARTAGO,LA UNION,HIGADO,4,7.45,HOMBRE,2011
,CARTAGO,JIMENEZ,HIGADO,0,0,HOMBRE,2011
,CARTAGO,TURRIALBA,HIGADO,4,11.12,HOMBRE,2011
,CARTAGO,ALVARADO,HIGADO,0,0,HOMBRE,2011
,CARTAGO,OREAMUNO,HIGADO,2,8.87,HOMBRE,2011
,CARTAGO,EL GUARCO,HIGADO,0,0,HOMBRE,2011
,HEREDIA,CENTRAL,HIGADO,3,4.47,HOMBRE,2011
,HEREDIA,BARVA,HIGADO,1,5.01,HOMBRE,2011
,HEREDIA,SANTO DOMINGO,HIGADO,1,5.28,HOMBRE,2011
,HEREDIA,SANTA BARBARA,HIGADO,4,22.54,HOMBRE,2011
,HEREDIA,SAN RAFAEL,HIGADO,2,9.07,HOMBRE,2011
,HEREDIA,SAN ISIDRO,HIGADO,1,8.79,HOMBRE,2011
,HEREDIA,BELEN,HIGADO,1,8.45,HOMBRE,2011
,HEREDIA,FLORES,HIGADO,0,0,HOMBRE,2011
,HEREDIA,SAN PABLO,HIGADO,1,8.53,HOMBRE,2011
,HEREDIA,SARAPIQUI,HIGADO,2,4.76,HOMBRE,2011
,GUANACASTE,LIBERIA,HIGADO,1,3.66,HOMBRE,2011
,GUANACASTE,NICOYA,HIGADO,0,0,HOMBRE,2011
,GUANACASTE,SANTA CRUZ,HIGADO,3,13.34,HOMBRE,2011
,GUANACASTE,BAGACES,HIGADO,1,10.17,HOMBRE,2011
,GUANACASTE,CARRILLO,HIGADO,1,6.44,HOMBRE,2011
,GUANACASTE,CAÑAS,HIGADO,0,0,HOMBRE,2011
,GUANACASTE,ABANGARES,HIGADO,0,0,HOMBRE,2011
,GUANACASTE,TILARAN,HIGADO,1,11.84,HOMBRE,2011
,GUANACASTE,NANDAYURE,HIGADO,0,0,HOMBRE,2011
,GUANACASTE,LA CRUZ,HIGADO,0,0,HOMBRE,2011
,GUANACASTE,HOJANCHA,HIGADO,0,0,HOMBRE,2011
,PUNTARENAS,CENTRAL,HIGADO,5,9.15,HOMBRE,2011
,PUNTARENAS,ESPARZA,HIGADO,0,0,HOMBRE,2011
,PUNTARENAS,BUENOS AIRES,HIGADO,5,22.17,HOMBRE,2011
,PUNTARENAS,MONTES DE ORO,HIGADO,2,29.89,HOMBRE,2011
,PUNTARENAS,OSA,HIGADO,0,0,HOMBRE,2011
,PUNTARENAS,AGUIRRE,HIGADO,1,7.75,HOMBRE,2011
,PUNTARENAS,GOLFITO,HIGADO,1,6.56,HOMBRE,2011
,PUNTARENAS,COTO BRUS,HIGADO,0,0,HOMBRE,2011
,PUNTARENAS,PARRITA,HIGADO,0,0,HOMBRE,2011
,PUNTARENAS,CORREDORES,HIGADO,1,6.02,HOMBRE,2011
,PUNTARENAS,GARABITO,HIGADO,0,0,HOMBRE,2011
,LIMON,CENTRAL,HIGADO,5,9.24,HOMBRE,2011
,LIMON,POCOCI,HIGADO,4,4.91,HOMBRE,2011
,LIMON,SIQUIRRES,HIGADO,2,6.21,HOMBRE,2011
,LIMON,TALAMANCA,HIGADO,0,0,HOMBRE,2011
,LIMON,MATINA,HIGADO,1,3.9,HOMBRE,2011
,LIMON,GUACIMO,HIGADO,1,3.98,HOMBRE,2011
,SAN JOSE,CENTRAL,COLON,16,9.09,HOMBRE,2011
,SAN JOSE,ESCAZU,COLON,3,9.85,HOMBRE,2011
,SAN JOSE,DESAMPARADOS,COLON,5,3.29,HOMBRE,2011
,SAN JOSE,PURISCAL,COLON,1,6.35,HOMBRE,2011
